"Tonkawa, OK","Tonkawa, OK Urban Cluster",14,21,OK,12/23/2016
"Ponca City, OK","Ponca City, OK Urban Cluster",115,174,OK,12/23/2016
"Blackwell, OK","Blackwell, OK Urban Cluster",31,46,OK,12/23/2016
"Beaver, UT","Beaver, UT Urban Cluster",13,19,UT,12/23/2016
"Wendell, ID","Wendell, ID Urban Cluster",12,18,ID,12/23/2016
"Gooding, ID","Gooding, ID Urban Cluster",17,25,ID,12/23/2016
"Upper Greenwood Lake, NJ","Upper Greenwood Lake, NJ Urban Cluster",17,26,NJ,12/23/2016
"Jefferson Township North, NJ","Jefferson Township North, NJ Urban Cluster",61,92,NJ,12/23/2016
"Pocahontas, AR","Pocahontas, AR Urban Cluster",26,39,AR,12/23/2016
"Thayer, MO","Thayer, MO--AR Urban Cluster",13,20,MO,12/23/2016
"Benton, LA","Benton, LA Urban Cluster",24,36,LA,12/23/2016
"Emmett, ID","Emmett, ID Urban Cluster",41,61,ID,12/23/2016
"Bastrop, LA","Bastrop, LA Urban Cluster",62,93,LA,12/23/2016
"Buras, LA","Buras, LA Urban Cluster",17,25,LA,12/23/2016
"Jonesboro, LA","Jonesboro, LA Urban Cluster",25,37,LA,12/23/2016
"Helena, MT","Helena, MT Urban Cluster",200,301,MT,12/23/2016
"Klamath Falls--Altamont, OR","Klamath Falls--Altamont, OR Urban Cluster",184,277,OR,12/23/2016
"Tallulah, LA","Tallulah, LA Urban Cluster",41,61,LA,12/23/2016
"Vicksburg, MS","Vicksburg, MS--LA Urban Cluster",129,194,MS,12/23/2016
"Tillamook, OR","Tillamook, OR Urban Cluster",34,51,OR,12/23/2016
"Espanola, NM","Espanola, NM Urban Cluster",117,177,NM,12/23/2016
"Leesville, LA","Leesville, LA Urban Cluster",43,64,LA,12/23/2016
"Fort Polk, LA","Fort Polk, LA Urban Cluster",63,96,LA,12/23/2016
"Cleveland, OK","Cleveland, OK Urban Cluster",14,21,OK,12/23/2016
"Price, UT","Price, UT Urban Cluster",63,95,UT,12/23/2016
"Grangeville, ID","Grangeville, ID Urban Cluster",14,21,ID,12/23/2016
"Truth or Consequences, NM","Truth or Consequences, NM Urban Cluster",35,53,NM,12/23/2016
"Polson, MT","Polson, MT Urban Cluster",21,32,MT,12/23/2016
"Valley City, ND","Valley City, ND Urban Cluster",30,45,ND,12/23/2016
"Morgan City, LA","Morgan City, LA Urban Cluster",142,214,LA,12/23/2016
"Franklin, LA","Franklin, LA Urban Cluster",65,98,LA,12/23/2016
"Jeanerette, LA","Jeanerette, LA Urban Cluster",30,45,LA,12/23/2016
"Ashdown, AR","Ashdown, AR Urban Cluster",18,28,AR,12/23/2016
"Libby, MT","Libby, MT Urban Cluster",18,27,MT,12/23/2016
"Presidential Lakes Estates, NJ","Presidential Lakes Estates, NJ Urban Cluster",13,20,NJ,12/23/2016
"Slidell, LA","Slidell, LA Urbanized Area",404,609,LA,12/23/2016
"Mandeville--Covington, LA","Mandeville--Covington, LA Urbanized Area",394,594,LA,12/23/2016
"Harrison, AR","Harrison, AR Urban Cluster",62,93,AR,12/23/2016
"Sheridan, AR","Sheridan, AR Urban Cluster",20,30,AR,12/23/2016
"Walnut Ridge, AR","Walnut Ridge, AR Urban Cluster",28,42,AR,12/23/2016
"Filer, ID","Filer, ID Urban Cluster",12,18,ID,12/23/2016
"Twin Falls, ID","Twin Falls, ID Urban Cluster",216,326,ID,12/23/2016
"Buhl, ID","Buhl, ID Urban Cluster",18,28,ID,12/23/2016
"Forrest City, AR","Forrest City, AR Urban Cluster",61,92,AR,12/23/2016
"Chandler, OK","Chandler, OK Urban Cluster",12,18,OK,12/23/2016
"Gramercy--Lutcher, LA","Gramercy--Lutcher, LA Urban Cluster",68,102,LA,12/23/2016
"Winnfield, LA","Winnfield, LA Urban Cluster",24,36,LA,12/23/2016
"Huron, SD","Huron, SD Urban Cluster",56,84,SD,12/23/2016
"Albany--Schenectady, NY","Albany--Schenectady, NY Urbanized Area",2636,3977,NY,12/23/2016
"Santaquin, UT","Santaquin, UT Urban Cluster",44,66,UT,12/23/2016
"Nephi, UT","Nephi, UT Urban Cluster",23,35,UT,12/23/2016
"Wilburton, OK","Wilburton, OK Urban Cluster",13,20,OK,12/23/2016
"Ruidoso, NM","Ruidoso, NM Urban Cluster",43,64,NM,12/23/2016
"Ravena, NY","Ravena, NY Urban Cluster",24,36,NY,12/23/2016
"Coxsackie, NY","Coxsackie, NY Urban Cluster",28,42,NY,12/23/2016
"Catskill, NY","Catskill, NY Urban Cluster",29,43,NY,12/23/2016
"Clifton Springs, NY","Clifton Springs, NY Urban Cluster",29,43,NY,12/23/2016
"Newark, NY","Newark, NY Urban Cluster",61,92,NY,12/23/2016
